uncomp,,,,,,comp,,,,,,sczcopy,,,,,
Packet size,cum_mcycles,cum_minstret,mcycles,minstret,cycle/byte,Packet size,cum_mcycles,cum_minstret,mcycles,minstret,cycle/byte,Packet size,cum_mcycles,cum_minstret,mcycles,minstret,cycle/byte
6592,22396732,22396732,426340,426340,64.67536408,6592,34083936,34083936,647520,647520,98.22815534,6592,24392460,24392460,445716,445716,67.61468447
6656,22827168,22827168,430436,430436,64.66887019,6656,34737664,34737664,653728,653728,98.21634615,6656,24842272,24842272,449812,449812,67.57992788
6720,23261700,23261700,434532,434532,64.6625,6720,35397600,35397600,659936,659936,98.2047619,6720,25296180,25296180,453908,453908,67.54583333
6784,23700328,23700328,438628,438628,64.65625,6784,36063744,36063744,666144,666144,98.19339623,6784,25754184,25754184,458004,458004,67.51238208
6848,24143052,24143052,442724,442724,64.65011682,6848,36736096,36736096,672352,672352,98.18224299,6848,26216284,26216284,462100,462100,67.47955607
6912,24589872,24589872,446820,446820,64.64409722,6912,37414656,37414656,678560,678560,98.1712963,6912,26682480,26682480,466196,466196,67.44733796
6976,25040788,25040788,450916,450916,64.63818807,6976,38099424,38099424,684768,684768,98.16055046,6976,27152772,27152772,470292,470292,67.41571101
7040,25495800,25495800,455012,455012,64.63238636,7040,38790400,38790400,690976,690976,98.15,7040,27627160,27627160,474388,474388,67.38465909
7104,25954908,25954908,459108,459108,64.62668919,7104,39487584,39487584,697184,697184,98.13963964,7104,28105644,28105644,478484,478484,67.35416667
7168,26418112,26418112,463204,463204,64.62109375,7168,40190976,40190976,703392,703392,98.12946429,7168,28588224,28588224,482580,482580,67.32421875
7232,26885412,26885412,467300,467300,64.61559735,7232,40900576,40900576,709600,709600,98.11946903,7232,29074900,29074900,486676,486676,67.29480088
7296,27356808,27356808,471396,471396,64.61019737,7296,41616384,41616384,715808,715808,98.10964912,7296,29565672,29565672,490772,490772,67.26589912
7360,27832300,27832300,475492,475492,64.6048913,7360,42338400,42338400,722016,722016,98.1,7360,30060540,30060540,494868,494868,67.2375
7424,28311888,28311888,479588,479588,64.59967672,7424,43066624,43066624,728224,728224,98.09051724,7424,30559504,30559504,498964,498964,67.20959052
7488,28795572,28795572,483684,483684,64.59455128,7488,43801056,43801056,734432,734432,98.08119658,7488,31062564,31062564,503060,503060,67.18215812
7552,29283352,29283352,487780,487780,64.58951271,7552,44541696,44541696,740640,740640,98.0720339,7552,31569720,31569720,507156,507156,67.15519068
